Board,Jugador,Subasta_Real,Subasta_Predicha,Grilla_Predicha,Min_HCP,Max_HCP,Min_S,Max_S,Min_H,Max_H,Min_D,Max_D,Min_C,Max_C,Grilla,Force,Es_Correcta,Confianza,Subasta_Previa
14,W,2Pic,2Pic,270,7.64,7.64,1.73,4.29,0.0,3.52,0.08,4.69,1.61,5.12,270,No,SI,0.7527,1Dia - Pass
14,N,3Tre,3Dia,330,12.45,12.45,0.0,3.35,0.0,2.94,2.59,4.94,1.1,4.36,310,No,NO,0.7423,1Dia - Pass - 2Pic
14,E,3Dia,3Dia,330,15.05,15.05,1.23,4.39,0.34,3.84,0.13,4.14,2.09,6.49,330,No,SI,0.9999,1Dia - Pass - 2Pic - 3Tre
14,S,4Tre,3Pic,370,1.69,1.69,0.82,1.52,0.0,1.03,0.0,0.94,0.05,1.27,410,No,NO,0.9098,1Dia - Pass - 2Pic - 3Tre - 3Dia
14,W,4Dia,Pass,0,6.46,6.46,0.0,3.69,0.0,4.0,0.85,4.86,0.57,4.79,430,No,NO,0.6474,1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre
14,N,5Tre,Pass,0,8.84,8.84,0.0,2.58,0.0,2.68,1.49,3.83,0.79,3.49,510,No,NO,0.4600,1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia
14,E,Pass,5Cor,550,14.49,14.49,1.85,4.56,1.21,4.1,0.58,4.42,1.61,5.53,0,No,NO,0.6095,1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre
14,S,Pass,5Pic,570,1.8,1.8,0.7,1.39,0.0,1.06,0.15,1.13,0.11,1.32,0,No,NO,0.9951,1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre - Pass
14,W,Pass,Pass,0,7.12,7.12,0.17,3.74,0.0,4.21,0.85,5.06,0.77,4.95,0,No,SI,0.9983,1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre - Pass - Pass
15,S,Pass,Pass,0,6.07,6.07,0.0,5.1,0.0,5.43,0.0,5.46,0.0,5.38,0,No,SI,0.9309,
15,W,Pass,Pass,0,5.96,5.96,0.0,5.11,0.0,5.8,0.0,5.52,0.0,5.55,0,No,SI,0.6659,Pass
15,N,Pass,Pass,0,5.57,5.57,0.0,5.25,0.0,5.21,0.0,5.33,0.0,5.14,0,No,SI,0.9792,Pass - Pass
15,E,1NT,1NT,190,17.85,17.85,2.13,4.66,1.54,4.32,2.33,5.0,2.07,5.04,190,No,SI,0.9928,Pass - Pass - Pass
15,S,Pass,Pass,0,6.08,6.08,0.0,5.51,0.0,5.21,0.0,5.67,0.0,5.68,0,No,SI,0.9697,Pass - Pass - Pass - 1NT
15,W,3NT,2Dia,230,9.22,9.22,0.0,3.18,0.11,4.32,3.34,6.72,0.0,4.62,390,No,NO,0.9206,Pass - Pass - Pass - 1NT - Pass
15,N,Pass,Pass,0,6.11,6.11,0.0,5.75,0.0,5.4,0.0,5.67,0.0,5.57,0,No,SI,0.9941,Pass - Pass - Pass - 1NT - Pass - 3NT
15,E,Pass,3NT,390,16.44,16.44,1.99,4.2,1.47,3.92,2.17,4.51,2.07,4.66,0,No,NO,0.8813,Pass - Pass - Pass - 1NT - Pass - 3NT - Pass
15,S,Pass,Pass,0,6.03,6.03,0.0,5.66,0.0,5.47,0.0,5.91,0.0,5.79,0,No,SI,0.9979,Pass - Pass - Pass - 1NT - Pass - 3NT - Pass - Pass
16,W,1Pic,2Tre,210,15.0,15.0,1.49,5.09,1.83,5.33,0.81,5.27,0.88,5.25,170,No,NO,0.3870,
16,N,X,2Dia,230,6.79,6.79,2.07,3.7,0.0,2.06,0.25,2.46,0.0,2.6,171,No,NO,0.9950,1Pic
16,E,2Cor,Pass,0,6.99,6.99,0.0,5.85,0.0,6.03,0.0,5.92,0.0,5.87,250,Si,NO,0.9844,1Pic - X
16,S,X,2Cor,250,8.32,8.32,1.11,4.77,2.84,6.08,0.0,4.83,0.0,5.19,251,No,NO,0.9241,1Pic - X - 2Cor
16,W,Pass,3Cor,350,13.51,13.51,1.11,4.39,3.05,5.88,0.0,4.57,0.0,4.73,0,Si,NO,0.6192,1Pic - X - 2Cor - X
16,N,3Tre,4Dia,430,13.74,13.74,1.26,4.02,0.0,3.35,3.25,6.78,0.0,4.12,310,No,NO,0.9071,1Pic - X - 2Cor - X - Pass
16,E,Pass,Pass,0,7.32,7.32,0.0,5.46,0.0,5.58,0.0,5.54,0.0,5.62,0,No,SI,1.0000,1Pic - X - 2Cor - X - Pass - 3Tre
16,S,3Cor,4Cor,450,9.47,9.47,0.7,4.14,3.27,6.06,0.0,4.68,0.0,5.12,350,No,NO,0.9027,1Pic - X - 2Cor - X - Pass - 3Tre - Pass
16,W,3Pic,Pass,0,13.39,13.39,0.68,4.7,3.71,6.8,0.0,4.86,0.0,4.91,370,Si,NO,0.7482,1Pic - X - 2Cor - X - Pass - 3Tre - Pass - 3Cor
16,N,Pass,4NT,490,13.63,13.63,0.87,4.38,0.0,3.76,3.18,7.08,0.0,4.54,0,No,NO,0.9997,1Pic - X - 2Cor - X - Pass - 3Tre - Pass - 3Cor - 3Pic
16,E,Pass,Pass,0,7.08,7.08,0.0,4.47,0.0,5.22,0.0,5.47,0.62,5.61,0,No,SI,0.9745,1Pic - X - 2Cor - X - Pass - 3Tre - Pass - 3Cor - 3Pic - Pass
16,S,Pass,Pass,0,10.22,10.22,0.86,4.52,3.42,6.36,0.0,4.93,0.0,5.3,0,No,SI,0.9539,1Pic - X - 2Cor - X - Pass - 3Tre - Pass - 3Cor - 3Pic - Pass - Pass
17,N,Pass,Pass,0,6.12,6.12,0.0,5.24,0.0,5.47,0.0,5.62,0.0,5.48,0,No,SI,0.9410,
17,E,1NT,1NT,190,18.07,18.07,2.16,4.73,1.56,4.35,2.37,5.03,2.08,5.08,190,No,SI,0.9891,Pass
17,S,Pass,Pass,0,6.27,6.27,0.0,5.77,0.0,5.7,0.0,5.8,0.0,5.86,0,No,SI,0.9601,Pass - 1NT
17,W,2Cor,2Cor,250,13.86,13.86,2.11,5.51,1.76,5.16,0.07,4.89,0.57,4.97,250,Si,SI,0.9461,Pass - 1NT - Pass
17,N,Pass,Pass,0,6.38,6.38,0.34,5.92,0.0,5.34,0.0,5.74,0.0,5.61,0,No,SI,0.9515,Pass - 1NT - Pass - 2Cor
17,E,2Pic,2Cor,250,11.58,11.58,3.05,5.49,0.0,3.28,0.44,3.93,0.36,4.1,270,No,NO,1.0000,Pass - 1NT - Pass - 2Cor - Pass
17,S,Pass,Pass,0,6.99,6.99,0.0,5.82,0.0,6.02,0.0,5.77,0.0,5.65,0,No,SI,1.0000,Pass - 1NT - Pass - 2Cor - Pass - 2Pic
17,W,3Tre,4Dia,430,14.92,14.92,2.53,5.2,0.52,4.18,2.49,6.01,0.21,4.67,310,Si,NO,0.9907,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass
17,N,Pass,Pass,0,6.23,6.23,0.0,5.78,0.0,5.49,0.0,5.73,0.0,5.7,0,No,SI,0.9915,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre
17,E,3NT,Pass,0,15.84,15.84,1.89,4.64,1.82,4.8,1.19,4.78,1.59,5.21,390,No,NO,0.7908,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass
17,S,Pass,Pass,0,6.6,6.6,0.0,6.03,0.0,6.06,0.0,6.04,0.0,6.03,0,No,SI,0.9999,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3NT
17,W,Pass,4Dia,430,14.41,14.41,2.27,5.02,0.51,4.17,2.46,5.89,0.2,4.6,0,Si,NO,0.9999,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3NT - Pass
17,N,Pass,Pass,0,6.22,6.22,0.0,5.69,0.0,5.44,0.0,5.68,0.0,5.49,0,No,SI,0.9966,Pass - 1NT - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3NT - Pass - Pass
18,E,Pass,Pass,0,6.08,6.08,0.0,5.27,0.0,5.7,0.0,5.57,0.0,5.51,0,No,SI,0.9481,
18,S,Pass,Pass,0,5.45,5.45,0.0,5.19,0.0,5.59,0.0,5.54,0.0,5.47,0,No,SI,0.9552,Pass
18,W,1Tre,1Tre,110,15.66,15.66,0.0,3.78,0.0,3.68,0.99,5.14,1.34,6.74,110,No,SI,0.9900,Pass - Pass
18,N,1Dia,2Tre,210,10.72,10.72,0.25,3.36,0.0,3.29,1.33,4.38,1.19,4.48,130,No,NO,0.4652,Pass - Pass - 1Tre
18,E,1NT,4Cor,450,6.99,6.99,1.11,4.31,0.62,4.38,0.0,3.95,0.52,4.11,190,No,NO,0.8067,Pass - Pass - 1Tre - 1Dia
18,S,Pass,Pass,0,5.88,5.88,0.0,4.72,0.0,4.62,0.0,4.96,0.0,5.05,0,No,SI,0.9638,Pass - Pass - 1Tre - 1Dia - 1NT
18,W,2Cor,4NT,490,14.76,14.76,0.71,3.94,1.23,4.47,1.79,5.09,0.9,4.78,250,Si,NO,0.9032,Pass - Pass - 1Tre - 1Dia - 1NT - Pass
18,N,Pass,Pass,0,10.89,10.89,0.75,3.74,1.1,4.06,0.69,4.45,1.17,4.8,0,No,SI,0.9916,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor
18,E,2NT,Pass,0,9.15,9.15,1.25,4.77,1.73,5.29,0.0,4.64,0.76,4.72,290,No,NO,0.9651,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass
18,S,Pass,Pass,0,6.07,6.07,0.0,5.31,0.0,5.3,0.0,5.5,0.0,5.58,0,No,SI,0.9998,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT
18,W,3Cor,4NT,490,9.52,9.52,1.53,3.19,0.26,2.83,1.82,4.07,0.01,3.02,350,No,NO,0.9998,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass
18,N,Pass,Pass,0,10.92,10.92,1.12,4.03,2.04,4.77,0.15,4.33,1.1,4.82,0,No,SI,0.9965,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass - 3Cor
18,E,4Cor,Pass,0,9.72,9.72,1.02,4.15,2.41,5.21,0.01,4.62,0.69,4.83,450,No,NO,0.7393,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass - 3Cor - Pass
18,S,Pass,Pass,0,6.93,6.93,0.34,4.6,0.0,4.39,0.0,4.79,0.0,4.9,0,No,SI,0.9923,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass - 3Cor - Pass - 4Cor
18,W,Pass,4NT,490,11.58,11.58,1.53,3.55,0.71,3.38,2.44,5.01,0.11,3.57,0,No,NO,0.9996,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass - 3Cor - Pass - 4Cor - Pass
18,N,Pass,Pass,0,11.09,11.09,0.94,3.93,2.05,4.76,0.24,4.35,1.06,4.7,0,No,SI,0.9684,Pass - Pass - 1Tre - 1Dia - 1NT - Pass - 2Cor - Pass - 2NT - Pass - 3Cor - Pass - 4Cor - Pass - Pass
19,S,Pass,Pass,0,6.07,6.07,0.0,5.1,0.0,5.43,0.0,5.46,0.0,5.38,0,No,SI,0.9309,
19,W,1Pic,2Tre,210,15.75,15.75,1.55,5.22,2.11,5.58,0.73,5.35,0.85,5.38,170,No,NO,0.3972,Pass
19,N,2Pic,Pass,0,9.57,9.57,1.43,5.14,2.0,5.68,0.0,4.52,0.0,4.87,270,Si,NO,0.5551,Pass - 1Pic
19,E,3Cor,Pass,0,7.44,7.44,1.16,3.86,0.07,3.75,0.16,3.87,0.74,4.04,350,Si,NO,0.9173,Pass - 1Pic - 2Pic
19,S,4Tre,Pass,0,4.96,4.96,0.0,3.35,0.0,3.55,0.61,4.46,0.91,4.56,410,No,NO,0.4241,Pass - 1Pic - 2Pic - 3Cor
19,W,4Pic,4Tre,410,13.41,13.41,1.64,4.89,2.19,5.14,0.15,4.7,0.46,4.83,470,No,NO,0.4994,Pass - 1Pic - 2Pic - 3Cor - 4Tre
19,N,5Dia,4NT,490,16.09,16.09,0.55,4.17,0.0,3.78,2.37,5.17,0.97,4.7,530,No,NO,0.6753,Pass - 1Pic - 2Pic - 3Cor - 4Tre - 4Pic
19,E,Pass,Pass,0,5.65,5.65,1.36,3.38,0.0,3.12,0.0,3.32,0.18,3.33,0,Si,SI,0.9124,Pass - 1Pic - 2Pic - 3Cor - 4Tre - 4Pic - 5Dia
19,S,Pass,Pass,0,5.65,5.65,0.0,3.29,0.0,3.97,0.92,4.95,0.94,4.92,0,No,SI,0.7024,Pass - 1Pic - 2Pic - 3Cor - 4Tre - 4Pic - 5Dia - Pass
19,W,Pass,5Pic,570,15.12,15.12,2.34,5.9,1.67,5.35,0.3,5.38,0.38,5.35,0,No,NO,0.5576,Pass - 1Pic - 2Pic - 3Cor - 4Tre - 4Pic - 5Dia - Pass - Pass
20,W,Pass,Pass,0,6.57,6.57,0.0,4.95,0.0,5.58,0.0,5.38,0.0,5.34,0,No,SI,0.7898,
20,N,1NT,1Tre,110,13.43,13.43,2.51,5.05,0.99,4.05,0.85,4.48,0.51,4.39,190,No,NO,0.9999,Pass
20,E,2Dia,2NT,290,22.04,22.04,2.47,4.58,1.36,3.32,1.91,4.52,2.39,5.3,230,Si,NO,0.5737,Pass - 1NT
20,S,Pass,3Pic,370,6.58,6.58,2.37,3.92,0.09,3.21,0.0,3.41,0.0,3.57,0,No,NO,0.6549,Pass - 1NT - 2Dia
20,W,2Cor,4Tre,410,7.58,7.58,0.0,4.34,0.0,4.74,0.0,4.94,0.06,5.06,250,No,NO,0.5555,Pass - 1NT - 2Dia - Pass
20,N,Pass,4Cor,450,13.05,13.05,2.22,4.87,0.61,3.88,0.0,3.96,1.27,5.49,0,No,NO,0.7415,Pass - 1NT - 2Dia - Pass - 2Cor
20,E,2Pic,Pass,0,7.0,7.0,1.16,2.95,0.0,2.52,1.07,3.45,0.78,3.47,270,No,NO,0.4832,Pass - 1NT - 2Dia - Pass - 2Cor - Pass
20,S,Pass,Pass,0,5.86,5.86,1.02,3.34,1.73,4.11,0.0,3.48,0.0,3.73,0,No,SI,0.9257,Pass - 1NT - 2Dia - Pass - 2Cor - Pass - 2Pic
20,W,Pass,Pass,0,7.04,7.04,0.0,4.82,0.0,5.09,0.0,5.55,0.13,5.46,0,No,SI,0.9696,Pass - 1NT - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass
20,N,Pass,4Cor,450,14.11,14.11,2.35,5.09,0.8,4.12,0.47,4.49,1.14,5.38,0,No,NO,0.9648,Pass - 1NT - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - Pass
21,N,1NT,1NT,190,15.46,15.46,1.89,4.44,1.52,4.27,1.87,4.68,1.91,4.87,190,No,SI,0.9738,
21,E,Pass,Pass,0,6.07,6.07,0.0,5.61,0.0,5.74,0.0,5.59,0.0,5.58,0,No,SI,0.9541,1NT
21,S,2Pic,1NT,190,9.78,9.78,0.59,4.27,0.12,4.49,1.04,5.3,1.18,5.27,270,Si,NO,0.9634,1NT - Pass
21,W,X,3Tre,310,11.21,11.21,1.28,4.52,0.7,4.04,1.49,5.01,1.31,4.71,271,No,NO,0.9657,1NT - Pass - 2Pic
21,N,Pass,Pass,0,12.76,12.76,1.69,3.81,1.13,3.57,1.43,3.82,1.78,4.43,0,No,SI,0.6257,1NT - Pass - 2Pic - X
21,E,Pass,Pass,0,6.36,6.36,0.0,5.22,0.0,6.27,0.0,5.72,0.0,5.28,0,No,SI,0.9991,1NT - Pass - 2Pic - X - Pass
21,S,5Tre,4Pic,470,12.04,12.04,1.52,3.95,0.7,3.68,1.35,4.26,1.25,4.16,510,No,NO,0.5115,1NT - Pass - 2Pic - X - Pass - Pass
21,W,Pass,Pass,0,9.22,9.22,1.63,4.36,1.47,4.32,0.0,4.07,0.79,4.37,0,No,SI,0.9997,1NT - Pass - 2Pic - X - Pass - Pass - 5Tre
21,N,Pass,Pass,0,16.72,16.72,1.9,4.25,2.09,4.38,1.63,4.52,2.01,4.79,0,No,SI,0.5889,1NT - Pass - 2Pic - X - Pass - Pass - 5Tre - Pass
21,E,Pass,Pass,0,5.53,5.53,0.0,4.47,0.0,5.64,0.0,5.45,0.0,5.08,0,No,SI,0.9999,1NT - Pass - 2Pic - X - Pass - Pass - 5Tre - Pass - Pass
22,E,1Dia,1Dia,130,16.89,16.89,0.0,4.38,0.0,4.17,3.44,8.0,0.0,5.56,130,No,SI,0.9986,
22,S,Pass,Pass,0,6.06,6.06,0.0,5.81,0.0,5.99,0.0,5.92,0.0,5.86,0,No,SI,0.9685,1Dia
22,W,2Tre,2Tre,210,13.71,13.71,0.0,3.56,0.0,3.65,2.18,5.18,0.51,4.67,210,Si,SI,0.4944,1Dia - Pass
22,N,Pass,Pass,0,6.25,6.25,0.0,5.52,0.0,5.8,0.0,5.6,0.0,5.56,0,No,SI,0.9243,1Dia - Pass - 2Tre
22,E,2Pic,2Tre,210,17.97,17.97,2.75,5.64,0.97,4.21,1.82,5.54,0.68,5.09,270,Si,NO,0.9999,1Dia - Pass - 2Tre - Pass
22,S,Pass,Pass,0,6.57,6.57,0.0,5.69,0.0,6.13,0.0,5.83,0.0,5.71,0,No,SI,0.9989,1Dia - Pass - 2Tre - Pass - 2Pic
22,W,4Tre,2Pic,270,4.55,4.55,1.52,2.61,0.0,1.51,0.18,1.8,0.0,1.95,410,Si,NO,0.9992,1Dia - Pass - 2Tre - Pass - 2Pic - Pass
22,N,Pass,Pass,0,6.27,6.27,0.0,5.62,0.0,5.7,0.0,5.59,0.0,5.65,0,No,SI,0.9964,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre
22,E,4Cor,4Tre,410,17.5,17.5,1.89,5.12,0.96,4.63,1.55,5.51,0.96,5.21,450,Si,NO,0.8512,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass
22,S,Pass,Pass,0,6.57,6.57,0.0,5.23,0.0,5.18,0.0,5.34,0.0,5.45,0,No,SI,0.9910,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor
22,W,4NT,4NT,490,15.28,15.28,0.0,3.39,0.0,3.41,2.69,5.28,0.19,4.49,490,Si,SI,0.8413,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass
22,N,Pass,Pass,0,5.96,5.96,0.0,5.36,0.0,5.68,0.0,5.52,0.0,5.53,0,No,SI,0.9998,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT
22,E,5Cor,4NT,490,17.28,17.28,1.78,5.02,0.91,4.67,1.53,5.42,1.03,5.14,550,Si,NO,0.8074,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass
22,S,Pass,Pass,0,5.87,5.87,0.0,5.06,0.0,5.19,0.0,5.32,0.0,5.38,0,No,SI,0.9994,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass - 5Cor
22,W,6Tre,5Pic,570,11.13,11.13,1.55,3.51,0.53,3.03,1.45,3.87,0.16,3.43,610,No,NO,0.9005,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass - 5Cor - Pass
22,N,Pass,Pass,0,5.17,5.17,0.61,4.23,0.0,4.41,0.0,4.01,0.25,4.14,0,No,SI,1.0000,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass - 5Cor - Pass - 6Tre
22,E,Pass,6Pic,670,16.94,16.94,2.1,5.16,1.56,4.79,1.27,5.27,0.76,4.95,0,Si,NO,0.9997,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass - 5Cor - Pass - 6Tre - Pass
22,S,Pass,Pass,0,6.45,6.45,0.0,5.82,0.0,5.96,0.0,6.08,0.0,6.03,0,No,SI,1.0000,1Dia - Pass - 2Tre - Pass - 2Pic - Pass - 4Tre - Pass - 4Cor - Pass - 4NT - Pass - 5Cor - Pass - 6Tre - Pass - Pass
23,S,Pass,Pass,0,6.07,6.07,0.0,5.1,0.0,5.43,0.0,5.46,0.0,5.38,0,No,SI,0.9309,
23,W,1Tre,1Tre,110,15.89,15.89,0.0,3.79,0.0,3.77,0.72,5.05,1.57,7.22,110,No,SI,0.9909,Pass
23,N,X,1Pic,170,13.79,13.79,0.0,4.0,0.0,2.87,3.63,6.99,0.0,4.19,111,No,NO,0.8866,Pass - 1Tre
23,E,1Pic,2Cor,250,6.59,6.59,0.85,3.14,1.25,3.54,0.28,3.55,0.85,3.84,170,Si,NO,0.3558,Pass - 1Tre - X
23,S,Pass,2Cor,250,4.81,4.81,1.82,3.36,0.0,1.82,0.0,1.86,0.0,2.27,0,No,NO,1.0000,Pass - 1Tre - X - 1Pic
23,W,1NT,2NT,290,11.58,11.58,1.12,3.66,1.43,4.05,0.72,3.89,1.43,4.0,190,No,NO,0.5433,Pass - 1Tre - X - 1Pic - Pass
23,N,Pass,Pass,0,13.13,13.13,2.44,5.27,1.46,4.55,0.08,4.43,0.58,4.86,0,No,SI,0.5303,Pass - 1Tre - X - 1Pic - Pass - 1NT
23,E,Pass,5Tre,510,6.99,6.99,0.57,3.68,2.25,5.22,0.0,4.56,0.35,4.71,0,Si,NO,0.4262,Pass - 1Tre - X - 1Pic - Pass - 1NT - Pass
23,S,2Cor,Pass,0,6.6,6.6,1.38,3.95,1.67,5.17,0.0,4.4,0.0,4.77,250,No,NO,0.8595,Pass - 1Tre - X - 1Pic - Pass - 1NT - Pass - Pass
23,W,Pass,Pass,0,10.81,10.81,1.29,4.69,0.15,4.46,0.39,4.51,0.9,4.73,0,No,SI,1.0000,Pass - 1Tre - X - 1Pic - Pass - 1NT - Pass - Pass - 2Cor
23,N,Pass,Pass,0,15.51,15.51,2.37,5.52,2.12,5.21,0.54,5.09,0.63,5.18,0,No,SI,0.9342,Pass - 1Tre - X - 1Pic - Pass - 1NT - Pass - Pass - 2Cor - Pass
23,E,Pass,Pass,0,7.92,7.92,0.88,4.82,2.36,5.8,0.0,4.82,0.0,4.99,0,Si,SI,0.9999,Pass - 1Tre - X - 1Pic - Pass - 1NT - Pass - Pass - 2Cor - Pass - Pass
24,W,1NT,1NT,190,15.33,15.33,1.79,4.12,1.39,3.92,2.03,4.5,1.74,4.52,190,No,SI,0.9539,
24,N,Pass,Pass,0,5.93,5.93,0.0,5.39,0.0,5.51,0.0,5.43,0.0,5.47,0,No,SI,0.8864,1NT
24,E,2Tre,1NT,190,11.9,11.9,0.91,3.58,2.6,4.79,0.34,3.91,0.81,3.95,210,Si,NO,0.9432,1NT - Pass
24,S,Pass,Pass,0,6.2,6.2,0.0,5.4,0.0,5.55,0.0,5.62,0.0,5.48,0,No,SI,0.9910,1NT - Pass - 2Tre
24,W,2Pic,4Pic,470,13.87,13.87,1.71,4.11,1.6,4.18,1.7,4.99,0.47,4.19,270,No,NO,0.6128,1NT - Pass - 2Tre - Pass
24,N,Pass,Pass,0,6.46,6.46,0.0,5.41,0.0,5.94,0.0,5.49,0.0,5.42,0,No,SI,1.0000,1NT - Pass - 2Tre - Pass - 2Pic
24,E,4Pic,4Pic,470,8.87,8.87,3.64,5.2,0.0,3.73,0.0,4.0,0.0,4.11,470,No,SI,0.8653,1NT - Pass - 2Tre - Pass - 2Pic - Pass
24,S,Pass,Pass,0,6.07,6.07,0.0,5.47,0.0,5.52,0.0,5.74,0.0,5.76,0,No,SI,0.9982,1NT - Pass - 2Tre - Pass - 2Pic - Pass - 4Pic
24,W,Pass,4Pic,470,15.84,15.84,0.82,4.29,2.94,5.92,0.64,5.07,0.0,4.85,0,No,NO,0.9964,1NT - Pass - 2Tre - Pass - 2Pic - Pass - 4Pic - Pass
24,N,Pass,Pass,0,6.56,6.56,0.0,5.7,0.0,5.87,0.0,5.7,0.0,5.62,0,No,SI,0.9999,1NT - Pass - 2Tre - Pass - 2Pic - Pass - 4Pic - Pass - Pass
25,N,Pass,Pass,0,6.12,6.12,0.0,5.24,0.0,5.47,0.0,5.62,0.0,5.48,0,No,SI,0.9410,
25,E,1Tre,1Tre,110,16.13,16.13,0.0,4.04,0.0,3.98,0.0,4.1,2.31,7.36,110,No,SI,0.9984,Pass
25,S,X,3NT,390,13.06,13.06,0.18,3.94,0.0,3.67,3.13,6.63,0.34,5.15,111,No,NO,0.6033,Pass - 1Tre
25,W,3Tre,3NT,390,4.27,4.27,1.78,3.03,0.0,1.55,0.0,1.56,0.0,2.03,310,No,NO,1.0000,Pass - 1Tre - X
25,N,Pass,Pass,0,4.53,4.53,0.66,3.1,0.0,2.55,0.0,2.76,0.05,2.83,0,No,SI,1.0000,Pass - 1Tre - X - 3Tre
25,E,Pass,6Pic,670,16.24,16.24,2.36,5.1,0.9,4.03,1.16,4.95,1.28,5.47,0,No,NO,0.6018,Pass - 1Tre - X - 3Tre - Pass
25,S,3NT,7NT,790,19.09,19.09,2.2,4.17,1.94,3.17,1.41,4.04,1.26,3.98,390,No,NO,0.7279,Pass - 1Tre - X - 3Tre - Pass - Pass
25,W,Pass,Pass,0,6.19,6.19,2.36,4.05,0.0,1.97,0.0,2.12,0.0,2.61,0,No,SI,1.0000,Pass - 1Tre - X - 3Tre - Pass - Pass - 3NT
25,N,Pass,Pass,0,6.05,6.05,0.62,5.0,0.0,4.51,0.0,5.2,0.0,5.02,0,No,SI,0.9999,Pass - 1Tre - X - 3Tre - Pass - Pass - 3NT - Pass
25,E,Pass,Pass,0,15.31,15.31,1.76,4.71,1.46,4.81,0.9,4.89,1.29,5.31,0,No,SI,0.9984,Pass - 1Tre - X - 3Tre - Pass - Pass - 3NT - Pass - Pass
26,E,Pass,Pass,0,6.08,6.08,0.0,5.27,0.0,5.7,0.0,5.57,0.0,5.51,0,No,SI,0.9481,
26,S,1Tre,1Tre,110,16.64,16.64,0.0,4.37,0.0,4.14,0.0,3.9,2.5,8.01,110,No,SI,0.9998,Pass
26,W,X,1Pic,170,4.62,4.62,1.94,3.27,0.0,1.59,0.0,1.56,0.0,2.09,111,No,NO,1.0000,Pass - 1Tre
26,N,1Dia,3Dia,330,6.95,6.95,0.0,2.86,0.5,3.39,0.65,3.96,2.55,4.98,130,Si,NO,0.3918,Pass - 1Tre - X
26,E,Pass,Pass,0,5.44,5.44,0.5,3.53,1.58,4.49,0.0,4.05,1.24,4.44,0,No,SI,0.4324,Pass - 1Tre - X - 1Dia
26,S,1Cor,4Cor,450,11.52,11.52,0.92,4.21,3.44,5.98,0.0,4.53,0.74,4.84,150,No,NO,0.4410,Pass - 1Tre - X - 1Dia - Pass
26,W,Pass,4Cor,450,7.99,7.99,2.85,4.95,0.0,2.39,0.0,2.67,0.0,3.15,0,No,NO,1.0000,Pass - 1Tre - X - 1Dia - Pass - 1Cor
26,N,1NT,4Pic,470,7.13,7.13,1.68,5.22,0.0,4.31,0.0,5.24,0.14,5.01,190,No,NO,0.7873,Pass - 1Tre - X - 1Dia - Pass - 1Cor - Pass
26,E,Pass,Pass,0,5.47,5.47,0.26,3.53,1.83,4.88,0.0,4.3,1.41,5.06,0,No,SI,0.9490,Pass - 1Tre - X - 1Dia - Pass - 1Cor - Pass - 1NT
